,Country,MPI,Intensity,Population 2018,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Armenia,0.0006754480418749154,36.21394634246826,2951.741,0.000223650218447103,0.0,3.858701402836926e-05,0.00020980691251656913,3.9463073192309416e-05,0.00010361999266987089,2.08220221873715e-05,0.0,1.2862337170709741e-05,2.663645656517219e-05,0.026226426242588186,5.865545958241683e-06,0.0,1.011999477336742e-06,5.502485516300952e-06,1.034975378383962e-06,2.7175820950138973e-06,5.460872291186333e-07,0.0,3.3733313711491946e-07,6.985790634703924e-07,0.000223650218447103,0.0002483939265449384,0.00020340388178543374,5.865545958241683e-06,6.514484993637694e-06,5.334556903101805e-06
1,Ukraine,0.0008267242228612304,34.482789039611816,44246.158,0.0,0.000493361938276253,0.00015290206112985281,8.543782035422623e-05,3.820420007160513e-05,1.6373575958175115e-05,1.285635828092175e-05,2.4192631508065433e-06,8.126329436167158e-06,1.7042693719515308e-05,0.3931302235883512,0.0,0.00019395548910452567,6.011042147909878e-05,3.358818941875834e-05,1.501922571616423e-05,6.436947577378235e-06,5.054223005510718e-06,9.510854633956354e-07,3.194705708192995e-06,6.699997992500842e-06,0.000493361938276253,0.00023833988148407904,9.5022420617191e-05,0.00019395548910452567,9.369861089785712e-05,3.735618546314265e-05
2,Georgia,0.001244600280188024,36.59234642982483,4002.946,0.00015584775379758574,0.0004308948470271856,7.624056408066715e-05,0.00021952258940176154,9.617287082157918e-05,8.422611937770972e-05,6.644404392047937e-05,1.7593689064089824e-06,8.836286722367116e-05,2.5129240707249742e-05,0.035566456549562926,5.542952363788814e-06,1.5325402854222962e-05,2.711606709689216e-06,7.807640637605295e-06,3.420528231322424e-06,2.9956246151856127e-06,2.36317920107498e-06,6.257451776444711e-08,3.1427540777054984e-06,8.937580477379059e-07,0.0005867426008247714,0.0002957631534824287,0.00036209451095709817,2.0868355218011775e-05,1.051924734729451e-05,1.287841869079087e-05
3,Kyrgyzstan,0.0014259649906307459,36.281225085258484,6304.025,0.0006550518516272863,0.0002661793677704305,6.578042592540398e-05,0.00018880924760337342,0.00014676256316955433,2.9433759060423174e-05,5.360190824089516e-05,0.0,2.0345877857646123e-05,0.0,0.056011705191590995,3.6690571198553364e-05,1.4909160275641431e-05,3.684473824311017e-06,1.0575527914206261e-05,8.220421421415328e-06,1.6486350351727432e-06,3.0023342820957318e-06,0.0,1.1396073124265937e-06,0.0,0.0009212312193977168,0.0002545896735287774,0.0002501441083285188,5.159973147419479e-05,1.4260001738517278e-05,1.4010998051110398e-05
4,Serbia,0.0014399443753063679,42.473891377449036,8802.741,0.00023867526022424562,5.750433990092674e-05,0.00042674897576105986,0.00018772471998140805,0.0001667210023504756,0.00011438149627375493,1.8786594087734105e-05,4.5599847242429326e-05,0.00011782826993078296,6.597384407354932e-05,0.07821297246916548,1.8667501556989828e-05,4.497585353528717e-06,3.337730589244434e-05,1.4682508355687667e-05,1.303974516686942e-05,8.946116819041149e-06,1.4693553661733344e-06,3.566499596970276e-06,9.215699232185727e-06,5.160010450209529e-06,0.00029617960012517236,0.0006144736957424679,0.0005292910539587263,2.3165086910518546e-05,4.805981424813201e-05,4.139742663144944e-05
5,Turkmenistan,0.0014547742903232574,36.08146011829376,5850.902,0.0006719860785646681,0.000607836621714819,0.0,6.414945143039252e-05,0.0,3.2606946155436245e-05,5.8405439885778065e-05,0.0,1.9789771540261458e-05,0.0,0.05198567548968955,3.493365021385186e-05,3.1598797367215764e-05,0.0,3.3348525649019867e-06,0.0,1.6950941215462889e-06,3.036246244734629e-06,0.0,1.0287846413071258e-06,0.0,0.001279822700279487,6.414945143039252e-05,0.00011080215758147577,6.653244758106762e-05,3.3348525649019867e-06,5.760125007588043e-06
7,Kazakhstan,0.0016108643030747771,35.55653989315033,18319.616,0.0007520037916836121,0.0007049170781984367,3.0679333661000016e-06,4.708673148798694e-05,1.6718220867911835e-05,0.0,3.359462943983995e-05,1.0226444553666672e-06,5.143061186746196e-05,1.0226444553666672e-06,0.16277107571990174,0.00012240446611778643,0.00011474011111168962,4.993708142370764e-07,7.664357936433803e-06,2.7212427947929185e-06,0.0,5.468233972334229e-06,1.6645693807902545e-07,8.371416018599527e-06,1.6645693807902545e-07,0.0014569208698820488,5.015466485408694e-05,0.00010378875108594708,0.00023714457722947606,8.16372875067088e-06,1.6893806661884725e-05
11,Albania,0.0027478786651045084,39.05670642852783,2882.735,0.0007725218187864535,4.028190792559292e-06,0.0008594995675280659,0.0006533345461408081,0.00015833960702145346,7.983411575385787e-05,0.00011558343080559415,0.0,7.736211935915373e-05,2.7375270516038228e-05,0.025613303082630712,1.9786835482522555e-05,1.0317527164448356e-07,2.2014622922486372e-05,1.67340557446575e-05,4.055600344625129e-06,2.044815403137385e-06,2.9604734445539584e-06,0.0,1.9814994102606572e-06,7.011711006962916e-07,0.0007765500095790128,0.001512834113668874,0.00045849454345609744,1.9890010754167038e-05,3.8748678667143875e-05,1.1743559703273421e-05
15,Moldova,0.003533905139192939,37.44998872280121,4051.95,0.0003245355452066497,0.0,0.0011569764207411681,0.0003407247224173522,0.0003357095569446293,0.0004008028902995498,0.00032434173268935246,3.070956177017711e-05,0.0003070125608364248,0.00031309207588111135,0.03600186053371729,1.1683883436763705e-05,0.0,4.165330374032295e-05,1.2266723936859052e-05,1.2086168648956566e-05,1.4429649758075183e-05,1.1676905825546281e-05,1.1056013599014925e-06,1.105302339733236e-05,1.12718972500838e-05,0.0003245355452066497,0.0014977011431585203,0.0017116683784212448,1.1683883436763705e-05,5.3920027677182e-05,6.162324623989569e-05
17,Montenegro,0.004898900631815195,39.642661809921265,627.803,0.0015897904632385246,0.001274390821137436,0.0005725953299591108,0.0005207921010389888,0.000619129468828708,9.615903193972361e-05,7.87063539642725e-06,2.768618063663116e-05,0.00016308414050872702,2.7402507607020808e-05,0.00557807377895811,8.86796849702848e-06,7.108646023531627e-06,3.193978995998783e-06,2.905016763094086e-06,3.4535498558536785e-06,5.363821746729677e-07,4.390298492855041e-08,1.5443555824869004e-07,9.096953679356504e-07,1.5285320916042292e-07,0.0028641812843759606,0.0010933874309980995,0.0009413319649172378,1.5976614520560107e-05,6.098995759092869e-06,5.250819150799959e-06
