,Country,MPI,Intensity,Population 2021,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets,Weight,Nutrition_w,Child mortality_w,Years of schooling_w,School attendance_w,Cooking fuel_w,Sanitation_w,Drinking water_w,Electricity_w,Housing_w,Assets_w
14,Maldives,0.0026540936227336,34.37993933498948,521.457,0.0012279033595398627,0.0009138143318115907,0.00012997795632108816,0.000271625563710517,1.5786411289304254e-05,9.991858504949749e-06,1.627921238235312e-05,3.0475338818128984e-06,6.261986141036078e-05,3.0475338818128984e-06,0.0002743425344206175,3.368661196797567e-07,2.506981397790749e-07,3.565848195593965e-08,7.451844556177215e-08,4.330884082513977e-09,2.741191785820116e-09,4.466080383346254e-09,8.360681688692532e-10,1.71792914843862e-08,8.360681688692532e-10
35,Sri Lanka,0.0111846990586717,38.294348687052434,21773.441,0.003385482241585291,0.0002517907464858644,0.0016204844726606569,0.0011133188018136876,0.0014895833624421686,0.0007739645750760072,0.0006939963230986895,0.0004114602483948626,0.0008123803718078384,0.0006322379153065943,0.01145517461074985,3.878129021895231e-05,2.8843069663666256e-06,1.8562932588336717e-05,1.2753261272206598e-05,1.706343751404292e-05,8.865899350030475e-06,7.949849060313857e-06,4.713348990745657e-06,9.305959009404674e-06,7.242395715373513e-06
57,India,0.0688105643495396,41.97607432880558,1407563.842,0.01966510450668398,0.0024635954625406844,0.012874213472912037,0.006509967359490759,0.007721776717891937,0.006270112323358236,0.0014802364820390604,0.0011539719436437018,0.007559241818219316,0.0031123442627250643,0.7405301525784517,0.014562602840805884,0.0018243667237668342,0.009533743267423109,0.004820827122004432,0.0057182084910772524,0.004643207235500504,0.0010961597478965758,0.0008545510194977229,0.005597846497023363,0.0023047847717524604
61,Nepal,0.0743989020451057,42.5024970710904,30034.989,0.015562795051402973,0.0016695767308895217,0.01940254539610234,0.005799695302188701,0.009032562068186761,0.003621196080530199,0.0014762560112836479,0.003057631894420243,0.009043584042296483,0.0057330594678057355,0.015801638492829458,0.000245917661340265,2.6382047937556234e-05,0.0003065920081899217,9.164468853374715e-05,0.00014272928046553117,5.7220831376189156e-05,2.3327263813170567e-05,4.8315593839773966e-05,0.00014290344571589033,9.059173316815947e-05
66,Bangladesh,0.1040602663094325,42.23126848814277,169356.251,0.01580735280687224,0.0021725842124901704,0.027864857965145217,0.011297004130002165,0.012972183888849353,0.008660251340982663,0.0007935810973716989,0.0025646829276510514,0.012960939333514608,0.00896682860657333,0.08909962493420213,0.001408429206294924,0.0001935764384708431,0.0024827483935392536,0.0010065588308633255,0.001155816719073977,0.0007716251463174763,7.070777813069092e-05,0.00022851228692886014,0.0011548148334110993,0.000798941065694958
79,Pakistan,0.1982473948654647,51.71833439367877,231402.117,0.044968207956670225,0.009785105495034209,0.0413662594913116,0.04053858302500988,0.01735637408206064,0.012048344984298204,0.004412795297314189,0.003967896504938265,0.017024292356700003,0.006779535672129685,0.12174243177879723,0.005474538989379692,0.001191262538177536,0.005036029024065026,0.004935265678331373,0.002113007187612552,0.001466794817298338,0.0005372244304370699,0.0004830613695577747,0.002072578750817849,0.0008253571590561704
91,Afghanistan,0.2717212372376148,48.5995482813194,40099.462,0.0,0.027197617417294883,0.05230328891156495,0.06994074764727537,0.027366651194114647,0.027063348256729288,0.016733785374881092,0.013152832162669957,0.030266152921736587,0.007696813351355813,0.02109663507054895,0.0,0.0005737782094410762,0.0011034233991567752,0.0014755144296759236,0.0005773442533452394,0.000570945581959395,0.0003530265634027556,0.00027748050028002724,0.0006385139831793057,0.00016237686247968245
