,Country,MPI,Intensity,Population 2020,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
8,Jordan,0.0015259204752518,35.38750026592064,10928.721,0.0002927277465683483,0.0002795518303386402,0.00040877302231052905,0.00040744891488794793,5.224163128206594e-06,2.1778627967972107e-05,3.207059149950019e-05,0.0,5.9799612790958386e-05,1.8545965759663107e-05,0.031987978956588364,9.363768997237858e-06,8.942298066148183e-06,1.3075822835690229e-05,1.3033467315320442e-05,1.6711042021085737e-07,6.966542931428586e-07,1.0258734060113537e-06,0.0,1.9128687555693093e-06,5.932479624497118e-07,0.0005722795769069885,0.000816221937198477,0.00013741896114630037,1.830606706338604e-05,2.610929015101067e-05,4.39575483738409e-06
10,"Palestine, State of",0.0019800922697394,34.97258081680731,5019.401,0.000826908773007906,0.00041869721425004673,7.23718428916048e-05,0.0005415320904059099,1.863892210632464e-05,5.275384898662039e-05,1.3537625956683558e-05,0.0,2.8883633796082438e-05,6.7683183381279565e-06,0.014691608795089434,1.2148620202259562e-05,6.151335675355432e-06,1.0632588035431317e-06,7.955977622230632e-06,2.7383575194826595e-07,7.750389117466519e-07,1.9888950456984317e-07,0.0,4.243470483126671e-07,9.943748522440578e-08,0.0012456059872579528,0.0006139039332975147,0.00012058234918383898,1.8299955877614995e-05,9.019236425773764e-06,1.7715487018018338e-06
17,Tunisia,0.0028877310361996,36.48734391482851,12161.723,0.0006085516427101041,9.648433915919494e-05,0.0011490435445828159,0.0006288810737927049,1.1600342247899784e-05,0.00013067560967258308,0.00011762724696143491,2.1343677004136442e-05,4.144919482041847e-05,8.20743652484009e-05,0.035596932102105704,2.1662571506176466e-05,3.434546469966401e-06,4.090242503887737e-05,2.2386236884098243e-05,4.1293659535967684e-07,4.651650804916207e-06,4.1871691234438176e-06,7.597694211255199e-07,1.4754641737093876e-06,2.921595607070751e-06,0.0007050359818692991,0.0017779246183755207,0.0004047704359548736,2.5097117976142866e-05,6.328866192297561e-05,1.4408585725625359e-05
22,Algeria,0.0054090931224496,39.172626681723074,43451.666,0.0013098834267268522,0.00037853016389792596,0.0016017468097634987,0.0010650044747787918,7.066050004404219e-05,0.00034234758247890485,0.00022954872517597937,9.189209624945283e-05,0.00024580557027349486,7.367377306007609e-05,0.12718148607112453,0.00016659292079105803,4.8142028767284556e-05,0.00020371253957540456,0.0001354488517747642,8.986707402130046e-06,4.3540274292524e-05,2.9194347993613213e-05,1.168697335919622e-05,3.126191771194331e-05,9.369939942247257e-06,0.0016884135906247782,0.0026667512845422905,0.0010539282472819503,0.00021473494955834258,0.0003391613913501688,0.00013404016070165403
25,Libya,0.0074214647664764,37.134823226167306,6653.942,0.00253061521696191,0.0003633916221434966,0.00215704299632531,0.0014474538524660379,1.2959563339382506e-05,0.00017954184723021043,0.0004704202101627893,2.5780157102828536e-05,0.00021570735945907051,1.8551941284762638e-05,0.019475852359517595,4.928588834429875e-05,7.077361581552345e-06,4.201025092956319e-05,2.8190397527843515e-05,2.523985422416305e-07,3.4967305090106412e-06,9.161834560063723e-06,5.020905335398574e-07,4.201084685686248e-06,3.613148694444763e-07,0.002894006839105407,0.003604496848791348,0.0009229610785790439,5.6363249925851094e-05,7.020064845740671e-05,1.7975453699986577e-05
41,Egypt,0.0196817970481813,37.57057516612406,107465.134,0.006521493071035115,0.0013547412196068503,0.004773997898433211,0.005673108975539427,0.0,0.00047128248687648727,0.00021755348269350297,3.548585103805359e-05,0.0004913281864369367,0.00014280587652438118,0.3145466377043525,0.0020513137183063275,0.0004261292955868286,0.0015016449873598114,0.0017844573535863103,0.0,0.0001482403216559447,6.84307165021134e-05,1.1161955130097264e-05,0.0001545456290531157,4.491910830516702e-05,0.007876234290641965,0.010447106873972638,0.0013584558835693617,0.002477443013893156,0.003286102340946122,0.00042729773064643803
45,Morocco,0.0266967234413385,41.97795610796758,36688.772,0.005602360315079476,0.000904350874083108,0.0082743052884553,0.004227125416831487,0.0010485987982079463,0.0013301726708950636,0.001935242597387769,0.0005801251073463307,0.0021363956267359996,0.0006580467463160135,0.10738673506982824,0.0006016191829211592,9.711528772533032e-05,0.0008885506298982281,0.00045393719724422016,0.00011260560133769701,0.00014284290020653403,0.00020781938410152664,6.229774120995609e-05,0.00022942055117263844,7.066549161020021e-05,0.006506711189162584,0.012501430705286788,0.007688581546889122,0.0006987344706464896,0.0013424878271424481,0.0008256516696385522
51,Iraq,0.032694322381288,37.860725028718015,42556.984,0.008401523057681081,0.002411141965586434,0.009152112173671817,0.010766384800799006,9.033670118846097e-05,0.0007835446640852409,0.0002293459148766655,2.8074630169489266e-05,0.0007352765837975471,9.658188943337931e-05,0.12456278357255782,0.0010465170983137827,0.00030033855482205466,0.0011400125679208542,0.0013410908598008025,1.125259095879709e-05,9.760050441188237e-05,2.8567965558032352e-05,3.4970540816816935e-06,9.158809797354352e-05,1.2030508990518736e-05,0.010812665023267515,0.019918496974470824,0.001963160383550783,0.0013468556531358374,0.002481103427721657,0.00024453672197445576
85,Yemen,0.2451664614580897,50.58480016217859,32284.046,0.06309036537368246,0.00789314639258387,0.028617517500511933,0.045949501353178344,0.016398671006738644,0.02064560292419452,0.01658704399951177,0.01101820748356132,0.025443478603533586,0.009522926820596796,0.09449425821022704,0.005961677276198317,0.0007458570133119423,0.0027041910880290657,0.004341964045498412,0.0015495802524153252,0.0019508909336246553,0.0015673804186342624,0.0010411573429654993,0.00240426263692869,0.0008998619059025701,0.07098351176626633,0.07456701885369027,0.09961593083813665,0.00670753428951026,0.007046155133527477,0.009413133490471001
91,Sudan,0.2794395886310534,53.401499428373455,44440.486,0.04958451183471406,0.009267576707750393,0.045010107822332744,0.03644960841014785,0.02434653086520914,0.025591042640865435,0.01989418228578247,0.02367071993265402,0.02881072988724379,0.01681457824435128,0.13007572715860893,0.006449741432705082,0.0012054867792588193,0.005854722504477323,0.004741209318596529,0.003166892706081595,0.003328773480257539,0.0025877502270490716,0.00307898610760775,0.003747576640053503,0.0021871684919993186,0.05885208854246445,0.08145971623248059,0.13912778385610614,0.007655228211963901,0.010595931823073852,0.01809714765304878
