,Country,MPI,Intensity,Population 2020,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Serbia,0.0004331141474629,38.101535322504546,7358.005,3.8364649653908306e-05,9.563029811919757e-05,9.087222894905203e-05,8.275604554300042e-05,5.5717513888677477e-05,1.6946694116090916e-05,1.378448913414809e-05,4.145764122911932e-06,2.6047894504103248e-05,8.848569431805752e-06,0.06626017216322548,2.542048291049793e-06,6.336480017398609e-06,6.021209535020229e-06,5.483429825226936e-06,3.6918520627706765e-06,1.1228908697297044e-06,9.133626232107635e-07,2.746990445322681e-07,1.725937974331416e-06,5.863077339497034e-07,0.0001339949477731059,0.00017362827449205246,0.0001254909251977374,8.878528308448403e-06,1.1504639360247166e-05,8.315050308524534e-06
1,Armenia,0.0006900690078574,36.213946906679,2805.608,0.00022849142683926076,0.0,3.942228173145333e-05,0.00021434846041280985,4.031730535028025e-05,0.00010586299030595002,2.1272742924478124e-05,0.0,1.3140760577159092e-05,2.721303971600693e-05,0.025265009890931403,5.772838159086952e-06,0.0,9.960043378682526e-07,5.415515972435559e-06,1.018617118450532e-06,2.6746294971634023e-06,5.374560603941809e-07,0.0,3.320014459562859e-07,6.875377175872242e-07,0.00022849142683926076,0.0002537707421442632,0.0002078068388738744,5.772838159086952e-06,6.411520310303811e-06,5.250241839551626e-06
2,Ukraine,0.0008404317588393,34.41045380222842,43909.666,0.0,0.000508320336099037,0.00015290205964328394,8.543781388986096e-05,3.695332983167556e-05,1.6373575269180166e-05,1.285635846087323e-05,2.419263190331614e-06,8.126329289947164e-06,1.704269316511995e-05,0.39541452184250053,0.0,0.00020099724264141988,6.045969480258262e-05,3.378335232652792e-05,1.4611883245880202e-05,6.474349435915067e-06,5.083590833441974e-06,9.566117976161377e-07,3.2132686105191643e-06,6.738928368794356e-06,0.000508320336099037,0.00023833987353314492,9.377154920712769e-05,0.00020099724264141988,9.424304712911055e-05,3.70786322921669e-05
3,Turkmenistan,0.0008491773862619,34.047835501893296,6250.438,0.0004013621648375096,0.0002983975818334146,0.0,0.0001315974441210785,0.0,0.0,0.0,0.0,1.7820195469894376e-05,0.0,0.05628633005489487,2.2591203281591183e-05,1.6795704778658076e-05,0.0,7.407137174179608e-06,0.0,0.0,0.0,0.0,1.0030334038612173e-06,0.0,0.0006997597466709242,0.0001315974441210785,1.7820195469894376e-05,3.938690806024926e-05,7.407137174179608e-06,1.0030334038612173e-06
4,Georgia,0.0012446002611653,36.59234487059244,3765.912,0.0001558477497122506,0.00043089484172567036,7.624056073563718e-05,0.00021952259271892347,9.617287082398127e-05,8.422612212625268e-05,6.644404290788101e-05,1.7593689452234868e-06,8.83628701911656e-05,2.5129241278336953e-05,0.03391272192279793,5.285221398285365e-06,1.4612816945410685e-05,2.58552493546585e-06,7.444608642648477e-06,3.261483824770843e-06,2.8563370583032247e-06,2.2532983505614226e-06,5.96649897989704e-08,2.9966254450932894e-06,8.522009716031363e-07,0.0005867425914379209,0.00029576315345456063,0.00036209451627284097,1.9898038343696048e-05,1.0030133578114326e-05,1.2279610640130887e-05
5,North Macedonia,0.001422062911959,38.24223660617487,2111.072,8.176198901668447e-05,0.0003397269042023938,0.0005379990562572233,0.00021012737065983855,0.00010426118911143204,5.2752392898936915e-05,2.328999372996286e-06,4.4325124628514363e-05,0.0,4.8779885810998034e-05,0.01901058699592685,1.554343405161696e-06,6.458407867196514e-06,1.0227677862704487e-05,3.994644660154228e-06,1.98206640590166e-06,1.0028539544485541e-06,4.4275645193804985e-08,8.426466378556721e-07,0.0,9.273342628613559e-07,0.00042148889321907826,0.0007481264269170618,0.00025244759182287764,8.01275127235821e-06,1.4222322522858715e-05,4.7991769062610475e-06
6,Kyrgyzstan,0.0014259649128426,36.281225280422156,6424.874,0.0006550517987478039,0.00026617936099870674,6.578042051274901e-05,0.0001888092277758404,0.00014676255952467273,2.9433758400287447e-05,5.360190969154544e-05,0.0,2.0345877190998284e-05,0.0,0.057857157934389974,3.789943537535793e-05,1.540038132817718e-05,3.8058681785967053e-06,1.092396531089701e-05,8.491264585274299e-06,1.7029536083681083e-06,3.101254154608653e-06,0.0,1.1771546299532905e-06,0.0,0.0009212311597465107,0.0002545896482885894,0.00025014410480750387,5.329981670353511e-05,1.4729833489493714e-05,1.447262697820435e-05
9,Kazakhstan,0.0016106326619995,35.5565398002701,18979.243,0.0007518956693614222,0.0007048157088658364,3.067492149391633e-06,4.707996049559515e-05,1.6715817548338915e-05,0.0,3.358979989183097e-05,1.0224973831310812e-06,5.142321892083137e-05,1.0224973831310812e-06,0.17091153223022978,0.0001285076409278349,0.00012046113274219565,5.242697833567249e-07,8.046508185640855e-06,2.856925989667567e-06,0.0,5.740884166819637e-06,1.747565944523334e-07,8.788821137969833e-06,1.747565944523334e-07,0.0014567113782272586,5.014745264498678e-05,0.00010377383112726342,0.00024896877367003057,8.57077796899758e-06,1.7736144483361704e-05
16,Albania,0.0027478785548485,39.056704368687726,2866.849,0.0007725217871009229,4.028190672239502e-06,0.0008594995603073192,0.0006533344916738478,0.00015833960193968225,7.983410924058198e-05,0.0001155834275889049,0.0,7.736211625338887e-05,2.7375270071685638e-05,0.025816496224991804,1.99438058004149e-05,1.039937692834183e-07,2.2189267154056022e-05,1.686680743795483e-05,4.087773735742512e-06,2.061036979835068e-06,2.983959122020577e-06,0.0,1.997218782212991e-06,7.067335564638034e-07,0.0007765499777731624,0.001512834051981167,0.00045849452509424363,2.004779956969832e-05,3.905607459201085e-05,1.183672217627495e-05
20,Moldova,0.0035339051267231,37.44998797694088,3084.847,0.000324535551385851,0.0,0.001156976407642594,0.00034072472350849746,0.0003357095738127828,0.0004008028981516876,0.00032434175170085555,3.070956170222729e-05,0.000307012567585096,0.00031309209123354866,0.02777960783081958,9.015470344657738e-06,0.0,3.214035087382171e-05,9.465199197330492e-06,9.325880305570685e-06,1.1134147328109804e-05,9.010086665410827e-06,8.530995807442305e-07,8.528688726646959e-06,8.697575509399166e-06,0.000324535551385851,0.0014977011311510914,0.0017116684441861978,9.015470344657738e-06,4.16055500711522e-05,4.754947811588167e-05
