,Country,MPI,Intensity,Population 2018,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Armenia,0.0006754480418749154,36.21394634246826,2951.741,Europe and Central Asia,0.000223650218447103,0.0,3.858701402836926e-05,0.00020980691251656913,3.9463073192309416e-05,0.00010361999266987089,2.08220221873715e-05,0.0,1.2862337170709741e-05,2.663645656517219e-05,0.0005074155486671919,1.1348359830287408e-07,0.0,1.9579650894633616e-08,1.0645928962876445e-07,2.0024176935969234e-08,5.2578395433472935e-08,1.0565417812565552e-08,0.0,6.5265498726181e-09,1.3515752222566672e-08,0.000223650218447103,0.0002483939265449384,0.00020340388178543374,1.1348359830287408e-07,1.2603894052339807e-07,1.032102922771925e-07
1,Ukraine,0.0008267242228612304,34.482789039611816,44246.158,Europe and Central Asia,0.0,0.000493361938276253,0.00015290206112985281,8.543782035422623e-05,3.820420007160513e-05,1.6373575958175115e-05,1.285635828092175e-05,2.4192631508065433e-06,8.126329436167158e-06,1.7042693719515308e-05,0.007606083507321701,0.0,3.752552101863275e-06,1.162985845395268e-06,6.498471962977944e-07,2.905843360750543e-07,1.2453878605135486e-07,9.77865346847377e-08,1.840111755122078e-08,6.180954029949388e-08,1.296281516203405e-07,0.000493361938276253,0.00023833988148407904,9.5022420617191e-05,3.752552101863275e-06,1.8128330416930624e-06,7.227484662822021e-07
2,Georgia,0.001244600280188024,36.59234642982483,4002.946,Europe and Central Asia,0.00015584775379758574,0.0004308948470271856,7.624056408066715e-05,0.00021952258940176154,9.617287082157918e-05,8.422611937770972e-05,6.644404392047937e-05,1.7593689064089824e-06,8.836286722367116e-05,2.5129240707249742e-05,0.0006881217020311542,1.0724222160092698e-07,2.965080955328008e-07,5.246278671900396e-08,1.5105825785342636e-07,6.617863955896739e-08,5.795782062166879e-08,4.572158859239303e-08,1.2106599263788394e-09,6.080440659030549e-08,1.7291975886223258e-08,0.0005867426008247714,0.0002957631534824287,0.00036209451095709817,4.037503171337278e-07,2.035210445724303e-07,2.4916509117593677e-07
3,Kyrgyzstan,0.0014259649906307459,36.281225085258484,6304.025,Europe and Central Asia,0.0006550518516272863,0.0002661793677704305,6.578042592540398e-05,0.00018880924760337342,0.00014676256316955433,2.9433759060423174e-05,5.360190824089516e-05,0.0,2.0345877857646123e-05,0.0,0.0010836859684459762,7.098705002130456e-07,2.884548459426366e-07,7.128532457376022e-08,2.0460993234061783e-07,1.5904453040001223e-07,3.189695169240021e-08,5.808763584258683e-08,0.0,2.2048542350046782e-08,0.0,0.0009212312193977168,0.0002545896735287774,0.0002501441083285188,9.983253461556822e-07,2.75895256914378e-07,2.71077660285046e-07
4,Serbia,0.0014399443753063679,42.473891377449036,8802.741,Europe and Central Asia,0.00023867526022424562,5.750433990092674e-05,0.00042674897576105986,0.00018772471998140805,0.0001667210023504756,0.00011438149627375493,1.8786594087734105e-05,4.5599847242429326e-05,0.00011782826993078296,6.597384407354932e-05,0.0015132247898071631,3.6116932048500404e-07,8.701699265957953e-08,6.457671291464519e-07,2.840696999354747e-07,2.5228635373823797e-07,1.7308491565668162e-07,2.8428339889603934e-08,6.900281925866387e-08,1.7830065899935073e-07,9.983325633096723e-08,0.00029617960012517236,0.0006144736957424679,0.0005292910539587263,4.4818631314458356e-07,9.298368290819266e-07,8.009363438735054e-07
5,Turkmenistan,0.0014547742903232574,36.08146011829376,5850.902,Europe and Central Asia,0.0006719860785646681,0.000607836621714819,0.0,6.414945143039252e-05,0.0,3.2606946155436245e-05,5.8405439885778065e-05,0.0,1.9789771540261458e-05,0.0,0.0010057923945657734,6.758784870744214e-07,6.11357451259318e-07,0.0,6.452103036425527e-08,0.0,3.279581845315346e-08,5.874374723838405e-08,0.0,1.9904401705389166e-08,0.0,0.001279822700279487,6.414945143039252e-05,0.00011080215758147577,1.2872359383337393e-06,6.452103036425527e-08,1.1144396739692668e-07
6,Jordan,0.0015259204665198922,35.38750112056732,9965.322,Arab States,0.0002927277511625692,0.00027955183814200486,0.0004087730224704607,0.0004074489440207586,5.224163324314647e-06,2.1778628542073715e-05,3.2070591739696884e-05,0.0,5.979961501003566e-05,1.854596611069667e-05,0.0017130769028431824,5.014651493378238e-07,4.788937970684243e-07,7.002596232995434e-07,6.979913750898063e-07,8.949393527563879e-09,3.730846553102777e-08,5.493938996978809e-08,0.0,1.0244133927260657e-07,3.177066618514688e-08,0.0005722795893045741,0.0008162219664912193,0.00013741896472681757,9.803589464062481e-07,1.3982509983893498e-06,2.3540925448613318e-07
7,Kazakhstan,0.0016108643030747771,35.55653989315033,18319.616,Europe and Central Asia,0.0007520037916836121,0.0007049170781984367,3.0679333661000016e-06,4.708673148798694e-05,1.6718220867911835e-05,0.0,3.359462943983995e-05,1.0226444553666672e-06,5.143061186746196e-05,1.0226444553666672e-06,0.0031492119410247267,2.3682193204659022e-06,2.2199332800947776e-06,9.66157239079031e-09,1.4828609706579346e-07,5.264922078991672e-08,0.0,1.057966081862448e-07,3.2205241302634367e-09,1.6196589702721922e-07,3.2205241302634367e-09,0.0014569208698820488,5.015466485408694e-05,0.00010378875108594708,4.5881526005606795e-06,1.5794766945658376e-07,3.268527742639076e-07
8,Cuba,0.0016218493692576885,36.84541583061218,11338.146,Latin America and the Caribbean,0.0,0.00041906063515097236,0.0005081993333799079,1.3497629411740944e-05,0.0001168989289953952,0.00016946518696664067,5.7664367119989596e-05,9.612405476380759e-06,0.00016036108314857606,0.00016708976939878648,0.001949070590359631,0.0,8.167787595501876e-07,9.90516374731148e-07,2.630783252599744e-08,2.2784426454946349e-07,3.302996120064756e-07,1.1239192206527261e-07,1.8735256816625597e-08,3.12555071003105e-07,3.256697554851474e-07,0.00041906063515097236,0.0005216969627916488,0.0006810917411057688,8.167787595501876e-07,1.0168242072571454e-06,1.3274958819260897e-06
9,Trinidad and Tobago,0.00241792481392622,37.984198331832886,1389.841,Latin America and the Caribbean,0.00043006952601651327,0.0006698600283333023,0.0005422026783813982,0.0002805145075746307,5.821161440327941e-06,4.548490450507342e-05,4.4099424725935546e-05,0.00013031881468235015,0.00017562302029460602,9.393070912736001e-05,0.0002389189747932351,1.027517702456779e-07,1.6004227122436e-07,1.2954250804902984e-07,6.702023856435995e-08,1.3907859234290635e-09,1.0867206752920342e-08,1.0536189344491964e-08,3.113563760017669e-08,4.1959671958878795e-08,2.2441828726310425e-08,0.0010999295543498155,0.0008227171859560289,0.0004952780347756531,2.627940414700379e-07,1.9656274661338978e-07,1.1833132030620728e-07
