,Country,MPI,Intensity,Population 2018,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
6,Jordan,0.0015259204665198922,35.38750112056732,9965.322,0.0002927277511625692,0.00027955183814200486,0.0004087730224704607,0.0004074489440207586,5.224163324314647e-06,2.1778628542073715e-05,3.2070591739696884e-05,0.0,5.979961501003566e-05,1.854596611069667e-05,0.029708913776889927,8.696623519391659e-06,8.305181455531911e-06,1.2144202478893606e-05,1.2104865546397569e-05,1.552042177584545e-07,6.47019397535382e-07,9.52782444768493e-07,0.0,1.776581606224362e-06,5.5098050809181e-07,0.0005722795893045741,0.0008162219664912193,0.00013741896472681757,1.700180497492357e-05,2.4249068025291174e-05,4.082568174378501e-06
12,Tunisia,0.002887731185182929,36.48734390735626,11565.203,0.0006085516487306757,9.648434233101508e-05,0.0011490436011095187,0.0006288810868297946,1.1600343184196295e-05,0.00013067561960728412,0.00011762725142243531,2.134367752546298e-05,4.14491967557825e-05,8.207436927739741e-05,0.034478526508147825,2.0981964152337664e-05,3.3266379546811126e-06,3.9617330259872174e-05,2.168289322273389e-05,3.999627399799239e-07,4.505502814598387e-06,4.055614306249005e-06,7.358985513430344e-07,1.4291072290856817e-06,2.82980331677026e-06,0.0007050359910616907,0.0017779246879393133,0.0004047704577725586,2.4308602107018776e-05,6.130022348260606e-05,1.3955888958026293e-05
16,"Palestine, State of",0.003586168633773923,37.54266798496246,4862.978,0.0011365678308431354,0.0007737297548339774,0.0001879748212762402,0.0009878100118325336,5.498928071574348e-05,5.283515509802534e-05,0.00025440145024677,9.753912732958427e-06,1.5277289893663392e-05,0.0001128292356819393,0.014497654375936135,1.6477567586371222e-05,1.1217266565960805e-05,2.7251939902412966e-06,1.4320928140637456e-05,7.97215586198179e-07,7.659858175101515e-07,3.688224298414584e-06,1.4140885561547393e-07,2.2148486867931396e-07,1.6357592624177968e-06,0.0019102975856771127,0.0011757848331087738,0.0005000863243691,2.769483415233203e-05,1.7046122130878753e-05,7.250078688835499e-06
19,Libya,0.007421465124934912,37.13482320308685,6678.565,0.002530615364277483,0.0003633916499341111,0.002157043162986233,0.0014474539338549947,1.2959563028866038e-05,0.0001795418522923314,0.0004704202006160403,2.5780157849111807e-05,0.00021570735748094663,1.8551941364906713e-05,0.019910336237841074,5.038540279141136e-05,7.23524993621199e-06,4.2947454654592126e-05,2.8819294511838717e-05,2.580292574002169e-07,3.5747386479051156e-06,9.366224367338015e-06,5.132916110404338e-07,4.294806016421831e-06,3.693753904400049e-07,0.0028940070142115942,0.0036044970968412277,0.0009229610726322029,5.7620652727623356e-05,7.176674916643084e-05,1.8376465290545617e-05
20,Algeria,0.008152257651090622,38.80679905414581,42228.415,0.0018548058229464481,0.0005867908163091629,0.002361163373922337,0.0014575243131134674,9.366492630164328e-05,0.0005028307682517635,0.0004994860204685092,0.00020116784875737898,0.000451779047825826,0.00014304499411220417,0.12589260439047784,0.00023350633568935188,7.387262409757498e-05,0.00029725300653449065,0.0001834915317402967,1.1791721512156039e-05,6.330267498287931e-05,6.288159597341615e-05,2.532554439969619e-05,5.6875640939843476e-05,1.800830685380595e-05,0.002441596639255611,0.0038186876870358044,0.0018919736057173252,0.0003073789597869269,0.00048074453827478734,0.0002381854846617971
36,Egypt,0.019424961879849434,37.6130074262619,98423.602,0.006394520875272369,0.0013449763301207063,0.004702280206621168,0.005628044232817375,0.0,0.0004710926429273253,0.00021066618857059315,3.52300710942618e-05,0.000491885135720467,0.0001462665087732882,0.29342336408486663,0.0018763018269333245,0.00039464747939853577,0.0013797588770964647,0.0016513996720117065,0.0,0.00013822958808336664,6.181438174932032e-05,1.0337325977427315e-05,0.00014433059126644064,4.291801105720688e-05,0.0077394972053930755,0.010330324439438543,0.0013551405470859355,0.0022709493063318605,0.003031158549108171,0.0003976298981337618
42,Syria,0.028790390118956566,38.941338658332825,16945.062,0.007694147714468302,0.004046569626835861,0.006140886524372752,0.007963011866462755,8.282673539473538e-05,0.0007997986497594312,0.000863357321801695,6.412058161590819e-05,0.000864644030776001,0.00027102673900815735,0.050517121865410276,0.00038868619774226317,0.00020442105097573496,0.00031021991291339406,0.00040226844087380714,4.1841682856499374e-06,4.040352585768778e-05,4.361432703885046e-05,3.23918723557182e-06,4.3679327872910794e-05,1.369149080325983e-05,0.011740717341304163,0.014103898390835506,0.002945774058355928,0.0005931072487179981,0.0007124883537872012,0.0001488120270939306
46,Iraq,0.03269432485103607,37.860727310180664,38433.604,0.008401523609796957,0.002411142042374137,0.00915211246596126,0.010766384933863726,9.033670598479829e-05,0.0007835446820668446,0.00022934592675352,2.8074630702249435e-05,0.0007352766208557349,9.658189482554189e-05,0.11457940118454094,0.000962641544248318,0.00027626721138609967,0.0010486435659234133,0.001233605938644369,1.0350725676722124e-05,8.977808047255056e-05,2.6278318951531908e-05,3.2167743743408684e-06,8.424755492264284e-05,1.1066295674378902e-05,0.010812665652171094,0.019918497399824986,0.001963160461188689,0.0012389087556344178,0.0022822495045677826,0.0002249377500721672
53,Morocco,0.08496962487697601,45.679983496665955,36029.089,0.01063102966932461,0.011220318110276573,0.024225499554491048,0.011462246971915002,0.0032498753782284062,0.005272976441454136,0.0069343414697364825,0.003092508614626066,0.00649090989147505,0.00238991909198516,0.10741098968612288,0.001141889418164692,0.0012051854728179347,0.0026020848827886123,0.0012311712912801555,0.000349072330732076,0.0005663756181681991,0.0007448244800859195,0.0003321694109098465,0.0006971950554067795,0.00025670357493988617,0.021851347779601182,0.03568774652640605,0.0274305308875053,0.0023470748909826264,0.003833256174068768,0.0029463404702427063
78,Yemen,0.2407345473766327,50.470250844955444,28498.683,0.060384521404699854,0.007734886920085171,0.02865125371508892,0.045368587039872565,0.016252861316629064,0.020419845628188105,0.016399298986815358,0.01097598622085294,0.02506768480125876,0.0094796231367541,0.08496111977133491,0.005130336555399441,0.000657164654035088,0.002434242598486574,0.003854565957350846,0.001380861296949018,0.0017348929501286592,0.001393302805384751,0.0009325320799184083,0.0021297785707898175,0.0008053993967088827,0.06811940832478502,0.07401984075496149,0.09859530009049833,0.005787501209434529,0.00628880855583742,0.008376767099879537
