,Country,MPI,Intensity,Population 2021,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
18,Seychelles,0.0029634608921739,34.22968467760313,106.471,0.0009671679465928232,0.001013405498859891,0.0009515227020521241,0.0,0.0,1.3350205237420679e-05,0.0,0.0,0.0,1.801453943163495e-05,9.872233789702596e-05,9.548108082670946e-08,1.0004576008515033e-07,9.393654570868095e-08,0.0,0.0,1.31796347244329e-09,0.0,0.0,0.0,1.7784374488291636e-09,0.0019805734454527144,0.0009515227020521241,3.136474466905563e-05,1.955268409118598e-07,9.393654570868095e-08,3.0964009212724537e-09
47,South Africa,0.0248906428726559,39.781226575720105,59392.255,0.007748591579885852,0.0020744691906641032,0.002606519959845394,0.0006555996565582335,0.0024628184855509366,0.0011430687194712301,0.0021131853853324644,0.00197469613173346,0.002309038022132324,0.001802655741482532,0.05506985250985084,0.000426713795463386,0.00011424071236610181,0.00014354066975266817,3.6103776392170785e-05,0.00013562705075782428,6.29486257899047e-05,0.00011637280749623113,0.0001087462247263346,0.00012715838331846477,9.927198580947884e-05,0.009823060770549955,0.0032621196164036277,0.011805462485702946,0.0005409545078294878,0.00017964444614483897,0.0006501250778982383
55,Sao Tome and Principe,0.0479233751055391,40.9172609319073,223.107,0.0076554879605590775,0.001323773460901745,0.011816175922825897,0.005731386124562442,0.005167489302140987,0.006084970195744595,0.0018620334719058392,0.0039045463370157812,0.0002526788633073941,0.004124833466573087,0.00020686989547568605,1.5836899942162294e-06,2.7384887749023115e-07,2.4444110780773117e-06,1.1856512485190297e-06,1.0689979718056317e-06,1.2587971483663493e-06,3.8519866970538974e-07,8.077330926184275e-07,5.227165004131578e-08,8.533038680845863e-07,0.008979261421460823,0.01754756204738834,0.021396551636687685,1.8575388717064605e-06,3.6300623265963414e-06,4.4263024006217e-06
58,Gabon,0.069695362281644,44.672076862412105,2341.179,0.016503257443929564,0.006252284892744481,0.009631078124269152,0.005273530844465786,0.00536012988346725,0.008113278088633878,0.0055670336637537975,0.004121931771837917,0.0051352452611084865,0.003737592307435121,0.002170794529171524,3.5825180972791525e-05,1.3572425839991489e-05,2.0907091702187017e-05,1.1447751906583616e-05,1.1635740626679505e-05,1.7612259688453623e-05,1.2084886220990449e-05,8.947866939924037e-06,1.1147562318768298e-05,8.113544933253734e-06,0.022755542336674046,0.014904608968734937,0.032035210976236454,4.9397606812783013e-05,3.235484360877063e-05,6.954186072806965e-05
60,Botswana,0.0726386986814453,42.18447749284698,2588.423,0.02055131133114211,0.001451250522590956,0.006606138778286434,0.005374134301415535,0.009101465952968789,0.007755809303741875,0.0021754473833688784,0.008597624207448317,0.005031312010502096,0.005994204889980774,0.002400044801179979,4.932406791773882e-05,3.483066271954152e-06,1.5855029030699814e-05,1.2898163090955353e-05,2.1843926043539327e-05,1.8614289798389003e-05,5.221171182695066e-06,2.0634683281585472e-05,1.2075374233919944e-05,1.4386360283405966e-05,0.022002561853733067,0.011980273079701969,0.03865586374801073,5.280713418969297e-05,2.8753192121655167e-05,9.277580482353478e-05
64,eSwatini,0.0812713200700914,42.29846494266417,1192.271,0.01901370871426873,0.004780991484884731,0.010066934223820505,0.004468976078217567,0.009871449737684284,0.007282514900303151,0.007154736323150022,0.008693682617028964,0.0048724133301339175,0.005065912660599699,0.001105500845552545,2.1019671060713877e-05,5.285390129119589e-06,1.1129004296555422e-05,4.9404568332236175e-06,1.0912896031839426e-05,8.050826380034141e-06,7.909567054947855e-06,9.610873484090982e-06,5.3864570563445375e-06,5.60037072978831e-06,0.023794700199153463,0.014535910302038072,0.04294070956890004,2.6305061189833467e-05,1.606946112977904e-05,4.747099073704525e-05
65,Lesotho,0.0843591908637076,43.03043244980782,2281.454,0.015974449134761762,0.0024741223280615003,0.009199479067920104,0.006098818473697267,0.0,0.009869268727891284,0.007745677030841078,0.012242773074544728,0.010595302991118423,0.010159300034869898,0.002115416147913718,3.3792607653701355e-05,5.233798324695179e-06,1.9460726572672426e-05,1.2901539082453692e-05,0.0,2.0877610435081098e-05,1.6385330267565598e-05,2.5898559857135195e-05,2.2413475039450427e-05,2.149114734526418e-05,0.018448571462823263,0.015298297541617371,0.05061232185926541,3.902640597839653e-05,3.236226565512612e-05,0.00010706612294449648
68,Zimbabwe,0.1099417854663912,42.61303180236045,15993.524,0.020554723367780706,0.00534768831630247,0.005902256704576583,0.01308672233549819,0.013985132413257212,0.01188759229732141,0.011007480972096055,0.010750490113247023,0.00908407001953074,0.00833562892678314,0.014829559978700247,0.0003048175030280955,7.930386463400202e-05,8.752786981020409e-05,0.00019407033379886658,0.00020739335993246277,0.0001762877629754629,0.00016323609929010013,0.00015942503793482072,0.00013471276120534381,0.00012361370912991932,0.025902411684083176,0.018988979040074773,0.06505039474223558,0.0003841213676620975,0.00028159820360907067,0.0009646687304681096
69,Ghana,0.1112183237453653,45.142618511619744,32833.031,0.020612017159388745,0.005591838590780128,0.020773927223026928,0.013152643399342395,0.01358629563693684,0.012645553801589717,0.006852161600729076,0.006013216933845875,0.007569109437769022,0.004421559961953059,0.03044353467672444,0.0006275026591490905,0.00017023533204506077,0.0006324317737859701,0.000400412955418471,0.0004136148623513167,0.0003849753556650811,0.00020860401930231526,0.00018306357824420352,0.00023043044564064345,0.00013460791402693435,0.026203855750168873,0.033926570622369326,0.051087897372823585,0.0007977379911941512,0.0010328447292044412,0.0015552961752304942
70,Congo,0.1116762938003927,46.02013183737041,5835.806,0.02090653090905363,0.005235808901451418,0.016136575063935774,0.006366558739039766,0.013115941974317851,0.012787489162395442,0.008245076507437148,0.01118747939663176,0.010715679437732209,0.006979153708400695,0.005411092333438132,0.00011312716912076744,2.8331445405990895e-05,8.731649761641181e-05,3.445003718320162e-05,7.097157306305073e-05,6.919428457056118e-05,4.4614870278004e-05,6.0536483993611185e-05,5.7983530853093394e-05,3.776484512541331e-05,0.02614233981050505,0.02250313380297554,0.06303082018691511,0.00014145861452675832,0.00012176653479961343,0.0003410655878837338
