,Country,MPI,Intensity,Population 2020,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Serbia,0.0004331141474629,38.101535322504546,7358.005,Europe and Central Asia,3.8364649653908306e-05,9.563029811919757e-05,9.087222894905203e-05,8.275604554300042e-05,5.5717513888677477e-05,1.6946694116090916e-05,1.378448913414809e-05,4.145764122911932e-06,2.6047894504103248e-05,8.848569431805752e-06,0.0012106219823551326,4.6445088216374624e-08,1.1577214108227527e-07,1.1001191795133084e-07,1.001862879071388e-07,6.745284711581036e-08,2.0516040425188046e-08,1.6687805561335147e-08,5.018953180856431e-09,3.153415368073484e-08,1.0712272666539708e-08,0.0001339949477731059,0.00017362827449205246,0.0001254909251977374,1.6221722929864988e-07,2.1019820585846966e-07,1.5192207263046451e-07
1,Armenia,0.0006900690078574,36.213946906679,2805.608,Europe and Central Asia,0.00022849142683926076,0.0,3.942228173145333e-05,0.00021434846041280985,4.031730535028025e-05,0.00010586299030595002,2.1272742924478124e-05,0.0,1.3140760577159092e-05,2.721303971600693e-05,0.0004616102759744549,1.0547399060106813e-07,0.0,1.8197730349598885e-08,9.894545196585669e-08,1.8610882449289234e-08,4.886744417061063e-08,9.81971673210198e-09,0.0,6.065910116536646e-09,1.2561818773409762e-08,0.00022849142683926076,0.0002537707421442632,0.0002078068388738744,1.0547399060106813e-07,1.1714318231545557e-07,9.592577224194825e-08
2,Ukraine,0.0008404317588393,34.41045380222842,43909.666,Europe and Central Asia,0.0,0.000508320336099037,0.00015290205964328394,8.543781388986096e-05,3.695332983167556e-05,1.6373575269180166e-05,1.285635846087323e-05,2.419263190331614e-06,8.126329289947164e-06,1.704269316511995e-05,0.007224513560057619,0.0,3.672367161000539e-06,1.1046430032536438e-06,6.172466449889797e-07,2.6696983245822184e-07,1.1829111655881619e-07,9.288093603354015e-08,1.7477999723899002e-08,5.8708776148716686e-08,1.2312516787131038e-07,0.000508320336099037,0.00023833987353314492,9.377154920712769e-05,3.672367161000539e-06,1.7218896482426234e-06,6.774538287945042e-07
3,Turkmenistan,0.0008491773862619,34.047835501893296,6250.438,Europe and Central Asia,0.0004013621648375096,0.0002983975818334146,0.0,0.0001315974441210785,0.0,0.0,0.0,0.0,1.7820195469894376e-05,0.0,0.0010283925659397963,4.1275786656839795e-07,3.068698548518956e-07,0.0,1.3533383323079487e-07,0.0,0.0,0.0,0.0,1.832615654483341e-08,0.0,0.0006997597466709242,0.0001315974441210785,1.7820195469894376e-05,7.196277214202936e-07,1.3533383323079487e-07,1.832615654483341e-08
4,Georgia,0.0012446002611653,36.59234487059244,3765.912,Europe and Central Asia,0.0001558477497122506,0.00043089484172567036,7.624056073563718e-05,0.00021952259271892347,9.617287082398127e-05,8.422612212625268e-05,6.644404290788101e-05,1.7593689452234868e-06,8.83628701911656e-05,2.5129241278336953e-05,0.0006196103224739562,9.6564874456048e-08,2.6698689183400694e-07,4.7239438423003394e-08,1.3601846446489113e-07,5.958970350449317e-08,5.218737469137824e-08,4.116941485262554e-08,1.0901231595005888e-09,5.475054649387245e-08,1.557033729199621e-08,0.0005867425914379209,0.00029576315345456063,0.00036209451627284097,3.6355176629005494e-07,1.8325790288789453e-07,2.2435749999386617e-07
5,North Macedonia,0.001422062911959,38.24223660617487,2111.072,Europe and Central Asia,8.176198901668447e-05,0.0003397269042023938,0.0005379990562572233,0.00021012737065983855,0.00010426118911143204,5.2752392898936915e-05,2.328999372996286e-06,4.4325124628514363e-05,0.0,4.8779885810998034e-05,0.00034733737875068237,2.8398994946497267e-08,1.1799985239674363e-07,1.8686718197072485e-07,7.298509012876137e-08,3.621380813139399e-08,1.832287787234286e-08,8.089485373285128e-10,1.5395772601265492e-08,0.0,1.694307767334966e-08,0.00042148889321907826,0.0007481264269170618,0.00025244759182287764,1.463988473432409e-07,2.598522720994862e-07,8.768448481568051e-08
6,Kyrgyzstan,0.0014259649128426,36.281225280422156,6424.874,Europe and Central Asia,0.0006550517987478039,0.00026617936099870674,6.578042051274901e-05,0.0001888092277758404,0.00014676255952467273,2.9433758400287447e-05,5.360190969154544e-05,0.0,2.0345877190998284e-05,0.0,0.0010570927443324584,6.924505036182293e-07,2.8137627120278304e-07,6.953600524316499e-08,1.9958886474485537e-07,1.5514163681319208e-07,3.111421244337841e-08,5.6662189817296366e-08,0.0,2.1507479155683546e-08,0.0,0.0009212311597465107,0.0002545896482885894,0.00025014410480750387,9.738267748210123e-07,2.6912486998802036e-07,2.644255182295504e-07
7,Argentina,0.0014692951081311,33.98602364908878,45036.032,Latin America and the Caribbean,0.0005267111166080529,0.0004970868592847348,0.00017699089283805164,0.0001371736117339011,3.5058890012535233e-06,3.531597320408342e-05,4.594534806731535e-06,2.8023789590844035e-06,5.1174809105598894e-05,3.3939042589621576e-05,0.0074098360000094034,3.902842993447501e-06,3.683332105059637e-06,1.3114734894252016e-06,1.0164339664771727e-06,2.597806253352537e-08,2.6168556962298477e-07,3.4044749414215576e-08,2.0765168496692492e-08,3.791969428042757e-07,2.514827395864303e-07,0.0010237979758927877,0.0003141645045719527,0.00013133262766637334,7.586175098507138e-06,2.3279074559023745e-06,9.731532324581244e-07
8,Jordan,0.0015259204752518,35.38750026592064,10928.721,Arab States,0.0002927277465683483,0.0002795518303386402,0.00040877302231052905,0.00040744891488794793,5.224163128206594e-06,2.1778627967972107e-05,3.207059149950019e-05,0.0,5.9799612790958386e-05,1.8545965759663107e-05,0.001798116457059511,5.263585785424929e-07,5.026667467330172e-07,7.350214986185169e-07,7.326405992710591e-07,9.393653695191771e-09,3.916050936138718e-08,5.766665836288414e-08,0.0,1.075266678852087e-07,3.3347806244512425e-08,0.0005722795769069885,0.000816221937198477,0.00013741896114630037,1.02902532527551e-06,1.467662097889576e-06,2.470952955491842e-07
9,Kazakhstan,0.0016106326619995,35.5565398002701,18979.243,Europe and Central Asia,0.0007518956693614222,0.0007048157088658364,3.067492149391633e-06,4.707996049559515e-05,1.6715817548338915e-05,0.0,3.358979989183097e-05,1.0224973831310812e-06,5.142321892083137e-05,1.0224973831310812e-06,0.0031226791479836958,2.3479289281741567e-06,2.2009133172466944e-06,9.57879377150894e-09,1.470156109274911e-07,5.2198134899697874e-08,0.0,1.0489016770716556e-07,3.192931257171323e-09,1.6057821344628078e-07,3.192931257171323e-09,0.0014567113782272586,5.014745264498678e-05,0.00010377383112726342,4.548842245420851e-06,1.5659440469900006e-07,3.2405237856748687e-07
