,Country,MPI,Intensity,Population 2021,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
25,Guyana,0.0071647093309801,39.2884988707267,804.567,Latin America and the Caribbean,0.0018606934150466562,0.0003142969517090172,0.0008923797501589147,0.0007126969181951987,0.0005250805781739048,0.0004053754527937379,0.00035682272075185747,0.0005908696007672722,0.000820359428303916,0.0006861345150795498,0.00013096020053474423,2.4367678276818815e-07,4.1160391823271716e-08,1.1686623103395643e-07,9.333493132733741e-08,6.876465781455402e-08,5.308805058973066e-08,4.672957506501629e-08,7.738040140636623e-08,1.0743443524124897e-07,8.985631368862732e-08,0.0021749903667556735,0.0016050766683541134,0.0033846422958702382,2.848371745914599e-07,2.1020116236129385e-07,4.4325343380554343e-07
26,Saint Lucia,0.0072018620576616,37.48761219896392,179.651,Latin America and the Caribbean,0.005003515894913965,0.0,0.0005420191153589397,0.0,0.00018079288918950188,0.00039410923869518375,8.459779927298951e-05,0.00017069702673508405,0.000613043232885707,0.00021308686061023311,2.9241978587572368e-05,1.4631270466165217e-07,0.0,1.5849711365381033e-08,0.0,5.286741794464758e-09,1.152453391908901e-08,2.4738070348965047e-09,4.991518800749596e-09,1.7926597089299983e-08,6.231081415257455e-09,0.005003515894913965,0.0005420191153589397,0.0016563270473886993,1.4631270466165217e-07,1.5849711365381033e-08,4.843428005375731e-08
27,Libya,0.0074214647664764,37.13482322616732,6735.277,Arab States,0.0025306152169619046,0.0003633916221434996,0.0021570429963252724,0.0014474538524660307,1.2959563339382506e-05,0.00017954184723020675,0.0004704202101628012,2.5780157102828536e-05,0.00021570735945907198,1.8551941284762638e-05,0.0010963079850118767,2.7743336693478988e-06,3.983891370423373e-07,2.3647834608853404e-06,1.5868552163947125e-06,1.4207672771232224e-08,1.9683316076225816e-07,5.157254327124441e-07,2.8262992086691573e-08,2.3648170060080778e-07,2.0338641367956773e-08,0.0028940068391054043,0.0036044968487913033,0.0009229610785790537,3.172722806390236e-06,3.951638677280053e-06,1.0118496003013908e-06
28,Viet Nam,0.007729394853574,40.275713602860655,97468.029,East Asia and the Pacific,0.0,0.0017667789283923657,0.0021535635868288982,0.0009954366964100949,0.0008112414345197507,0.0007259242863562915,0.0002543052363758292,5.486690667859235e-05,0.0006536537129609209,0.00031362406505147016,0.015864971622706704,0.0,2.802989756254104e-05,3.4166225192734934e-05,1.5792574940747064e-05,1.2870322337819724e-05,1.151676820327618e-05,4.034545358608251e-06,8.704619174815646e-07,1.0370197607201883e-05,4.975636892239495e-06,0.0017667789283923657,0.003149000283238993,0.0028136156419428546,2.802989756254104e-05,4.9958800133482e-05,4.46379323166271e-05
29,Ecuador,0.0079374393693257,37.956009527538406,17797.737,Latin America and the Caribbean,0.0024248867687720697,0.0002647839971229258,0.0012245508433154203,0.0009447432282172717,0.0005755884535030019,0.0005532695629427396,0.0004524941899694357,0.00026498457750818234,0.0005591318146345021,0.0006730059333401636,0.002896956010605254,7.0247902998314e-06,7.670675919773441e-07,3.5474699258343397e-06,2.7368795734626366e-06,1.6674544300105043e-06,1.6027975858519116e-06,1.3108557633959125e-06,7.676486645300227e-07,1.6197802711260438e-06,1.949668583762786e-06,0.0026896707658949953,0.002169294071532692,0.003078474531898025,7.791857891808743e-06,6.284349499296977e-06,8.91820529867718e-06
30,Tuvalu,0.008084608456584,38.23529689790041,11.204,East Asia and the Pacific,0.002316317879497889,0.0006308849206699466,0.0001442142600107111,0.0033798455801999716,0.0002643928100197964,0.00036352387402960226,0.0,4.80714200035992e-05,0.0008412148721450448,9.61428400071984e-05,1.8236866373978481e-06,4.224237964806019e-09,1.150536399561583e-09,2.630016189037527e-10,6.1637792210788654e-09,4.821696346571706e-10,6.629536314428842e-10,0.0,8.766720630130348e-11,1.5341123215112575e-09,1.7533441260260696e-10,0.0029472028001678355,0.0035240598402106827,0.001613345816205241,5.374774364367602e-09,6.4267808399826185e-09,2.9422372065152226e-09
31,Bosnia and Herzegovina,0.0083074962435722,37.93146064234383,3270.943,Europe and Central Asia,0.006618158835224488,0.0,0.0003344212141834437,0.00026510202429202637,0.000819498288245856,0.00014541779507841845,2.1309782237995057e-05,2.8392004744914363e-05,2.762792790264757e-05,4.7568371661465366e-05,0.0005324147662254578,3.523605489098994e-06,0.0,1.7805079257031194e-07,1.4114423228933487e-07,4.3631298955858023e-07,7.742258137169769e-08,1.134564272855755e-08,1.511632256893567e-08,1.4709516775581908e-08,2.5326103477864775e-08,0.006618158835224488,0.0005995232384754701,0.0010898141698712969,3.523605489098994e-06,3.191950248596468e-07,5.802331564812179e-07
32,Barbados,0.0085288617206525,34.2340762765694,281.2,Latin America and the Caribbean,0.00819171205735768,0.0,5.637212539249154e-05,0.0,0.0,2.669156487801295e-05,7.523501255998106e-06,7.722237547592474e-05,0.0001505493878283517,1.879070846417465e-05,4.5771214069642525e-05,3.7494460617419013e-07,0.0,2.5802206189004614e-09,0.0,0.0,1.2217053298852827e-09,3.4435978654151374e-10,3.5345618788748643e-09,6.89082825834512e-09,8.600735396339816e-10,0.00819171205735768,5.637212539249154e-05,0.00028077753790246217,3.7494460617419013e-07,2.5802206189004614e-09,1.2851528793280762e-08
33,Dominican Republic,0.0087861887056307,38.7636052135783,11117.873,Latin America and the Caribbean,0.0008256468977767785,0.00045362975384556365,0.0029174199948625397,0.0011448861158814016,0.0007096087164972637,0.0007996291151136938,0.0001608530962956713,0.00025165372970816456,0.0008612233475479393,0.0006616379381013337,0.0018096676567642203,1.4941464868143505e-06,8.209190936802313e-07,5.2795606058999754e-06,2.0718633745889856e-06,1.284155943203069e-06,1.4470629470282452e-06,2.91090645856657e-07,4.5540961535695065e-07,1.558528037307717e-06,1.1973447770701507e-06,0.0012792766516223422,0.004062306110743942,0.003444605943264066,2.315065580494582e-06,7.351423980488961e-06,6.23359196582279e-06
34,Jamaica,0.0108102917138878,38.94671235533186,2827.695,Latin America and the Caribbean,0.005645049572180265,0.0,0.0011365958871904019,0.0011217274241217023,0.0005223959037798732,0.0006160003801231309,0.0007023655744811375,0.00016579401839689933,0.0006590792374992087,0.00024128371611528373,0.00046026683203647875,2.5982290832762904e-06,0.0,5.231373883028173e-07,5.162939279089355e-07,2.4044150770159545e-07,2.8352454349254013e-07,3.232755778979146e-07,7.630948761813852e-08,3.033523127047788e-07,1.1105489163837072e-07,0.005645049572180265,0.002258323311312104,0.0029069188303955332,2.5982290832762904e-06,1.0394313162117528e-06,1.3379583210533381e-06
35,Sri Lanka,0.0111846990586717,38.294348687052434,21773.441,South Asia,0.003385482241585291,0.0002517907464858644,0.0016204844726606569,0.0011133188018136876,0.0014895833624421686,0.0007739645750760072,0.0006939963230986895,0.0004114602483948626,0.0008123803718078384,0.0006322379153065943,0.003544085451791363,1.1998438359700443e-05,8.923679215162393e-07,5.743135444410433e-06,3.945696968713682e-06,5.279210724061751e-06,2.7429965907287617e-06,2.4595822722907637e-06,1.4582502803266931e-06,2.8791454570450187e-06,2.240705197709001e-06,0.0036372729880711553,0.0027338032744743442,0.004813622796126161,1.2890806281216682e-05,9.688832413124115e-06,1.705989052216199e-05
36,Suriname,0.0112324684674057,39.36052165349411,612.985,Latin America and the Caribbean,0.001681452933887146,0.0006063203920487825,0.0031433794247183303,0.0017786876169366727,0.0006308088196015847,0.00101405102093426,0.00025551562164118736,0.0005213798065048521,0.0006909287322603803,0.0009099440988724222,9.97762007698429e-05,1.6776898551656526e-07,6.049634516790918e-08,3.136344565764894e-07,1.774706927743069e-07,6.293970743195533e-08,1.0117815825560089e-07,2.5494377964702325e-08,5.202129625116997e-08,6.893824390766474e-08,9.079076509842858e-08,0.0022877733259359283,0.004922067041655003,0.004022628099814686,2.2826533068447443e-07,4.911051493507964e-07,4.0136254890952187e-07
37,Indonesia,0.0140107488937181,38.71434553621994,273753.191,East Asia and the Pacific,0.0,0.004867627225314389,0.0025858845107715766,0.0011644829389077633,0.0013220481767856201,0.0012121925805095898,0.0007503634910023617,0.0004281338804237212,0.000727321506196558,0.0009526945838060307,0.04455908928701542,0.0,0.000216897036148691,0.00011522465880138087,5.1888299247997145e-05,5.89092627511264e-05,5.4014197427984444e-05,3.3435513793290825e-05,1.9077255804596977e-05,3.240878393497897e-05,4.2451203023068914e-05,0.004867627225314389,0.00375036744967934,0.0053927542187238815,0.000216897036148691,0.00016711295804937803,0.00024029621673504653
38,China,0.016066725408367,41.35557863672827,1425893.465,East Asia and the Pacific,0.00560354497291152,5.96642090453572e-05,0.003319816833719953,0.0029760306752134326,0.0018470799677587275,0.0005783278741482036,0.001183055939933583,2.0891284921694637e-05,0.0,0.00047831365071457485,0.23209415016720958,0.0013005500084116387,1.3847713893780918e-05,0.000770510066733029,0.0006907193104352086,0.0004286964554078387,0.00013422651646843625,0.0002745803629791543,4.848745019801756e-06,0.0,0.00011101380027597476,0.005663209181956877,0.006295847508933385,0.004107668717476783,0.0013143977223054196,0.0014612293771682377,0.0009533658801512058
39,Brazil,0.0163460407771117,42.54646521277315,214326.223,Latin America and the Caribbean,0.0,0.00813402060669052,0.0032422223606044455,0.0005016342605722549,0.0007390315478944181,0.0019486662226984683,0.001205298478598964,9.152184616168272e-05,0.0003152096575355073,0.00016843579635466899,0.03488610040423521,0.0,0.00028376425957512365,0.00011310849480490319,1.7500063180527974e-05,2.5781928781742033e-05,6.798136549940053e-05,4.20481637414754e-05,3.1928403143774325e-06,1.0996435761168304e-05,5.876068103296298e-06,0.00813402060669052,0.0037438566211767006,0.004468163549243709,0.00028376425957512365,0.00013060855798543116,0.00015587680220146
40,Mexico,0.0164921139779636,40.529676500358356,126705.138,Latin America and the Caribbean,0.010570251168344359,0.0,0.0010704537013900518,0.0011710792202157794,0.0010438586710562314,0.0007059260887877789,0.0002918130152963181,0.00011607187917454197,0.001184971630904766,0.0003376886027937677,0.02062392601394594,0.00021800007804475966,0.0,2.207695793882301e-05,2.4152251194199737e-05,2.1528464000879648e-05,1.4558967426473385e-05,6.0183300373777395e-06,2.393857848395426e-06,2.443876724440475e-05,6.964464759771443e-06,0.010570251168344359,0.0022415329216058312,0.003680329888013404,0.00021800007804475966,4.622920913302274e-05,7.590285131730238e-05
41,Belize,0.0171088313258261,39.75521940862636,400.031,Latin America and the Caribbean,0.0053250492371465065,0.001432639539011041,0.0011151413181809651,0.002467672719308285,0.0017252518688931284,0.0011303977819184215,0.00038883850480838435,0.0013689601968579809,0.001582859875989937,0.0005720202837112765,6.511345851882351e-05,3.467323726136318e-07,9.328411519582185e-08,7.261070796400244e-08,1.6067870524671242e-07,1.1233711599969544e-07,7.360410908271524e-08,2.531861985336209e-08,8.91377329920326e-08,1.0306548087638089e-07,3.724621901535986e-08,0.0067576887761575475,0.00358281403748925,0.006768328512179128,4.4001648780945365e-07,2.3328941321071486e-07,4.4070927781954615e-07
