,Country,MPI,Intensity,Population 2019,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
0,Serbia,0.0004331141555245,38.101536031694074,8772.228,Europe and Central Asia,3.8364650797254676e-05,9.563030096918017e-05,9.087223165723374e-05,8.275604800930305e-05,5.5717514303758864e-05,1.6946694242339408e-05,1.3784489236838918e-05,4.145764153796811e-06,2.604789469815343e-05,8.848569497725298e-06,0.001484256444499739,5.694298018680731e-08,1.419398905029553e-07,1.348776954633224e-07,1.2283119757913786e-07,8.269907967686048e-08,2.515324014215889e-08,2.0459716983915455e-08,6.153377162648924e-09,3.866175557138482e-08,1.3133546301602593e-08,0.00013399495176643483,0.00017362827966653678,0.00012549092613261273,1.9888287068976262e-07,2.5770889304246023e-07,1.8626071583857114e-07
1,Armenia,0.0006900690235151,36.21394772837801,2957.728,Europe and Central Asia,0.00022849143364876739,0.0,3.942228290631714e-05,0.00021434846680082768,4.031730565063107e-05,0.00010586299109459541,2.1272743082953143e-05,0.0,1.3140760675053494e-05,2.7213039918735288e-05,0.0005004460491767114,1.1434763524024833e-07,0.0,1.9728725729993014e-08,1.072698433575597e-07,2.017663632630822e-08,5.297871564731966e-08,1.0645860231015116e-08,0.0,6.576241763007216e-09,1.361865831341921e-08,0.00022849143364876739,0.00025377074970714484,0.0002078068404219684,1.1434763524024833e-07,1.2699856908755272e-07,1.0399611228106942e-07
2,Ukraine,0.000840431781534,34.41045473143484,43993.643,Europe and Central Asia,0.0,0.0005083203512482135,0.00015290206420008718,8.54378164360892e-05,3.6953330106969615e-05,1.6373575391159453e-05,1.2856358556650152e-05,2.4192632083545907e-06,8.126329350486448e-06,1.7042693292084085e-05,0.007443701661626993,0.0,3.7837850432251436e-06,1.1381573493523862e-06,6.359736161710992e-07,2.750695647199005e-07,1.2188001034594847e-07,9.569889755060915e-08,1.8008273563942118e-08,6.048997128914418e-08,1.2686072437688553e-07,0.0005083203512482135,0.00023833988063617638,9.377154990570434e-05,3.7837850432251436e-06,1.7741309655234855e-06,6.9800744184643e-07
3,Turkmenistan,0.000849177409976,34.04783645270937,5942.094,Europe and Central Asia,0.00040136217679896777,0.00029839759072630554,0.0,0.0001315974480429664,0.0,0.0,0.0,0.0,1.7820196399281728e-05,0.0,0.00100539923418808,4.03529225185743e-07,3.000087091997957e-07,0.0,1.3230797348350407e-07,0.0,0.0,0.0,0.0,1.791641181291903e-08,0.0,0.0006997597675252733,0.0001315974480429664,1.7820196399281728e-05,7.035379343855388e-07,1.3230797348350407e-07,1.791641181291903e-08
4,Georgia,0.0012446002883463,36.59234566973725,3996.762,Europe and Central Asia,0.00015584775435684695,0.00043089485456725385,7.62405630077687e-05,0.0002195225992611654,9.617287154044878e-05,8.422612275372002e-05,6.644404340287567e-05,1.759368958330427e-06,8.83628708494506e-05,2.5129241465544763e-05,0.0006762500650497989,1.0539205402168283e-07,2.9139267343072904e-07,5.1557685693436876e-08,1.4845217203026404e-07,6.503691063525444e-08,5.695792099109551e-08,4.493278867336633e-08,1.1897733725175482e-09,5.975539715992794e-08,1.699365117572675e-08,0.0005867426089241008,0.00029576316226893407,0.0003620945189703702,3.9678472745241187e-07,2.000098577237009e-07,2.448664420078885e-07
5,North Macedonia,0.0014220629536173,38.24223772645486,2083.458,Europe and Central Asia,8.176199145336223e-05,0.0003397269143269644,0.0005379990722907156,0.0002101273769220712,0.00010426118988815104,5.275239329192858e-05,2.3289993903466217e-06,4.432512495872507e-05,0.0,4.8779886174395965e-05,0.00035252001696086077,2.8822738613893007e-08,1.197605376006024e-07,1.8965544208885042e-07,7.407410647650972e-08,3.675415642773053e-08,1.859627457799666e-08,8.210189045868255e-10,1.5625493802242035e-08,0.0,1.7195886301546923e-08,0.00042148890578032664,0.0007481264492127868,0.00025244759370354725,1.485832762144954e-07,2.6372954856536013e-07,8.899283001410298e-08
6,Kyrgyzstan,0.0014259649449804,36.28122609811378,6415.851,Europe and Central Asia,0.0006550518182697478,0.0002661793689314214,6.578042247314567e-05,0.00018880923340275913,0.00014676256061802362,2.9433758619563053e-05,5.360191009086881e-05,0.0,2.0345877342570822e-05,0.0,0.001085558673771372,7.110971830924331e-07,2.889533227224945e-07,7.140850818006857e-08,2.0496350100848862e-07,1.593193706637923e-07,3.195207197115956e-08,5.8188018429855864e-08,0.0,2.2086643624716187e-08,0.0,0.0009212311872011692,0.0002545896558759048,0.0002501441066710263,1.0000505058149277e-06,2.7637200918855717e-07,2.715461046895239e-07
7,Jordan,0.001525920512808,35.38750113688448,10101.697,Arab States,0.0002927277552922504,0.00027955183866986745,0.0004087730344928184,0.0004074489270307768,5.224163167125262e-06,2.1778628130217423e-05,3.207059173841821e-05,0.0,5.979961323645045e-05,1.8545965897825806e-05,0.0017092019122888372,5.003308391255332e-07,4.77810537238398e-07,6.986756522472361e-07,6.964124852410386e-07,8.929149675359406e-09,3.722407284719508e-08,5.481511672753899e-08,0.0,1.0220961329787397e-07,3.1698800377807426e-08,0.0005722795939621179,0.0008162219615235951,0.00013741896217003716,9.781413763639313e-07,1.3950881374882747e-06,2.348767529257749e-07
8,Kazakhstan,0.0016106327009958,35.55654066115895,18551.428,Europe and Central Asia,0.0007518956917694823,0.0007048157298708066,3.0674922408091927e-06,4.70799618986757e-05,1.671581767286732e-05,0.0,3.358980014206596e-05,1.0224973907485086e-06,5.142321930392063e-05,1.0224973907485086e-06,0.0031388920310407922,2.360119395069132e-06,2.2123404778436746e-06,9.628526949955438e-09,1.4777891722545728e-07,5.246914688569407e-08,0.0,1.0543475599018371e-07,3.209508911580497e-09,1.614119332835395e-07,3.209508911580497e-09,0.001456711421640289,5.0147454139484894e-05,0.00010377383190035092,4.572459872912807e-06,1.574074441754127e-07,3.257348539825783e-07
9,"Palestine, State of",0.0019800923223807,34.97258174656271,4981.422,Arab States,0.000826908797651505,0.00041869722672809246,7.237184504843524e-05,0.0005415321065446893,1.863892224517962e-05,5.27538493796224e-05,1.3537626057535348e-05,0.0,2.8883634011257863e-05,6.7683183885501075e-06,0.0008428540282209695,6.969634110719295e-07,3.529006441527213e-07,6.099890112885747e-08,4.5643251741217856e-07,1.5709890696047082e-08,4.446379445377704e-08,1.141024265514283e-08,0.0,2.4344687276048888e-08,5.704704418071519e-09,0.0012456060243795975,0.0006139039515931245,0.00012058235008214534,1.0498640552246508e-06,5.17431418541036e-07,1.0163331949908735e-07
